XCoord,YCoord,A,P
-1.33075000,54.67487500,1795.288710,184.679860
-1.33012500,54.67487500,448.822177,87.914039
-1.32975000,54.67487500,897.644355,120.169313
-1.76362500,54.67460673,287.419014,89.215008
-1.75937500,54.67462500,448.824916,87.914235
-1.75900000,54.67462500,897.649833,120.169707
-1.33425000,54.67462500,897.649833,120.169707
-1.33375000,54.67462500,897.649833,120.169707
-1.33312500,54.67462500,1346.474749,152.425179
-1.33237500,54.67462500,1346.474749,152.425179
-1.33179167,54.67470833,1346.472010,175.828373
-1.33137500,54.67462500,448.824916,87.914235
-1.33100000,54.67462500,897.649833,120.169707
-1.33037500,54.67462500,1346.474749,152.425179
-1.32975000,54.67462500,897.649833,120.169707
-1.76362500,54.67437500,448.827654,87.914431
-1.75962500,54.67437500,448.827654,87.914431
-1.75900000,54.67437500,897.655309,120.170101
-1.33475000,54.67437500,897.655309,120.170101
-1.33425000,54.67437500,897.655309,120.170101
-1.33375000,54.67437500,897.655308,120.170101
-1.33337500,54.67437500,448.827654,87.914431
-1.33237500,54.67437500,1346.482963,152.425771
-1.33187500,54.67437500,448.827654,87.914431
-1.33100000,54.67437500,897.655309,120.170101
-1.33050000,54.67437500,897.655309,120.170101
-1.33012500,54.67437500,448.827654,87.914431
-1.32975000,54.67437500,897.655309,120.170101
-1.76475000,54.67425000,1795.316095,175.829057
-1.76412500,54.67425000,2692.974142,208.084826
-1.76362500,54.67412500,448.830393,87.914627
-1.76000000,54.67412500,897.660786,120.170495
-1.75962500,54.67412500,448.830393,87.914627
-1.75937500,54.67412500,448.830393,87.914627
-1.75900000,54.67412500,897.660786,120.170495
-1.33475000,54.67412500,897.660786,120.170495
-1.33425000,54.67412500,897.660786,120.170495
-1.33375000,54.67412500,897.660786,120.170495
-1.33337500,54.67412500,448.830393,87.914627
-1.33300000,54.67425000,1795.316095,175.829057
-1.33237500,54.67412500,1346.491179,152.426363
-1.33050000,54.67412500,897.660786,120.170495
-1.32975000,54.67412500,897.660786,120.170495
-1.32930632,54.67412500,521.590008,107.797681
-1.76475000,54.67387500,897.666263,120.170889
-1.76412500,54.67387500,1346.499395,152.426955
-1.76000000,54.67387500,897.666263,120.170889
-1.75937500,54.67387500,448.833132,87.914822
-1.75900000,54.67387500,897.666263,120.170889
-1.33337500,54.67387500,2244.165658,216.939088
-1.33237500,54.67387500,1346.499395,152.426955
